"cluster","class","mean_count"
"1","DELETION",1.17647058823529
"1","DUPLICATION",1
"1","INVERSION",1
"1","TRANSLOCATION",1
"2","DELETION",1.06569343065693
"2","DUPLICATION",1.09433962264151
"2","INVERSION",1.0709219858156
"2","TRANSLOCATION",1.02597402597403
"2","UNKNOWN",1
"3","DELETION",1.09127995920449
"3","DUPLICATION",1.09964412811388
"3","INVERSION",1.07032590051458
"3","TRANSLOCATION",1.07701283547258
"3","UNKNOWN",1
"4","DELETION",1.08021390374332
"4","DUPLICATION",1.15853658536585
"4","INVERSION",1.12686567164179
"4","TRANSLOCATION",1.1203007518797
"4","UNKNOWN",1
"5","DELETION",1.05263157894737
"5","DUPLICATION",1.16666666666667
"5","INVERSION",1.04761904761905
"5","TRANSLOCATION",1.07692307692308
"5","UNKNOWN",1
