"cluster","gene","n_mut_samples","cluster_n","pct"
"1","TP53",25,28,0.892857142857143
"1","CDKN2A",9,28,0.321428571428571
"1","NFE2L2",6,28,0.214285714285714
"1","PIK3CA",6,28,0.214285714285714
"1","KMT2D",4,28,0.142857142857143
"1","PTEN",4,28,0.142857142857143
"1","RB1",4,28,0.142857142857143
"1","EGFR",3,28,0.107142857142857
"1","EP300",3,28,0.107142857142857
"1","FAT1",3,28,0.107142857142857
"2","TP53",195,367,0.53133514986376
"2","KRAS",86,367,0.23433242506812
"2","EGFR",58,367,0.158038147138965
"2","PIK3CA",33,367,0.0899182561307902
"2","KMT2C",31,367,0.0844686648501362
"2","SMAD4",30,367,0.0817438692098093
"2","ARID1A",28,367,0.0762942779291553
"2","KEAP1",26,367,0.0708446866485014
"2","BRCA2",25,367,0.0681198910081744
"2","KMT2D",24,367,0.0653950953678474
"3","TP53",2387,4130,0.577966101694915
"3","KRAS",705,4130,0.170702179176755
"3","APC",557,4130,0.134866828087167
"3","PIK3CA",443,4130,0.10726392251816
"3","EGFR",287,4130,0.0694915254237288
"3","SMAD4",210,4130,0.0508474576271186
"3","KMT2D",207,4130,0.0501210653753027
"3","ATM",202,4130,0.048910411622276
"3","PTEN",198,4130,0.0479418886198547
"3","KMT2C",197,4130,0.0476997578692494
"4","TP53",255,461,0.553145336225597
"4","PIK3CA",111,461,0.240780911062907
"4","GATA3",89,461,0.193058568329718
"4","APC",32,461,0.06941431670282
"4","KMT2C",31,461,0.0672451193058568
"4","ARID1A",29,461,0.0629067245119306
"4","NF1",24,461,0.052060737527115
"4","CDH1",23,461,0.0498915401301518
"4","KMT2D",23,461,0.0498915401301518
"4","ESR1",21,461,0.0455531453362256
"5","TP53",99,148,0.668918918918919
"5","KMT2D",76,148,0.513513513513513
"5","ARID1A",68,148,0.459459459459459
"5","ZFHX3",68,148,0.459459459459459
"5","KMT2C",61,148,0.412162162162162
"5","RNF43",60,148,0.405405405405405
"5","KMT2B",56,148,0.378378378378378
"5","APC",52,148,0.351351351351351
"5","CREBBP",52,148,0.351351351351351
"5","SPEN",52,148,0.351351351351351
